ts_utc,ticker,side,price,edge_cents,spread_cents,score,reason,status,status_reason
2026-04-11T01:39:03.519902+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.1550, spot_5m=2243.9700, secs_left=1327362, sigma=0.29, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_31s
2026-04-11T01:39:07.026501+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8450, spot_5m=72948.2300, secs_left=1327359, sigma=0.26, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_11s
2026-04-11T01:39:07.027269+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.2050, spot_5m=2243.9700, secs_left=1327359, sigma=0.28, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_27s
2026-04-11T01:39:09.830299+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8450, spot_5m=72948.2300, secs_left=1327356, sigma=0.26, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_8s
2026-04-11T01:39:09.831038+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2241.8050, spot_5m=2243.9700, secs_left=1327355, sigma=0.34, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_24s
2026-04-11T01:39:13.609753+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8450, spot_5m=72948.2300, secs_left=1327353, sigma=0.26, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_4s
2026-04-11T01:39:13.610518+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2241.8050, spot_5m=2243.9700, secs_left=1327352, sigma=0.34, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_20s
2026-04-11T01:39:16.879916+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8750, spot_5m=72948.2300, secs_left=1327349, sigma=0.26, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_1s
2026-04-11T01:39:16.880627+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.0950, spot_5m=2243.9700, secs_left=1327348, sigma=0.30, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_17s
2026-04-11T01:39:20.439655+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8750, spot_5m=72948.2300, secs_left=1327346, sigma=0.26, fair=49.9, market=95.0, conf=1.00",dry_run,
2026-04-11T01:39:20.440472+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.0950, spot_5m=2243.9700, secs_left=1327345, sigma=0.30, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_14s
2026-04-11T01:39:23.576517+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8750, spot_5m=72948.2300, secs_left=1327342, sigma=0.26, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_56s
2026-04-11T01:39:23.577233+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.0950, spot_5m=2243.9700, secs_left=1327342, sigma=0.30, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_11s
2026-04-11T01:39:27.084612+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72888.8750, spot_5m=72948.2300, secs_left=1327339, sigma=0.26, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_53s
2026-04-11T01:39:27.085400+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.1450, spot_5m=2243.9700, secs_left=1327339, sigma=0.29, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_7s
2026-04-11T01:39:29.948707+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72894.8750, spot_5m=72948.2300, secs_left=1327336, sigma=0.24, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_50s
2026-04-11T01:39:29.949478+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.1450, spot_5m=2243.9700, secs_left=1327335, sigma=0.29, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_4s
2026-04-11T01:39:33.394647+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72895.9950, spot_5m=72948.2300, secs_left=1327333, sigma=0.23, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_47s
2026-04-11T01:39:33.395418+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.1450, spot_5m=2243.9700, secs_left=1327332, sigma=0.29, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_1s
2026-04-11T01:39:36.534874+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72902.1650, spot_5m=72948.2300, secs_left=1327329, sigma=0.20, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_43s
2026-04-11T01:39:36.535795+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.1950, spot_5m=2243.9700, secs_left=1327329, sigma=0.28, fair=49.9, market=77.5, conf=1.00",dry_run,
2026-04-11T01:39:39.487005+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72902.1650, spot_5m=72948.2300, secs_left=1327326, sigma=0.20, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_40s
2026-04-11T01:39:39.487763+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.1450, spot_5m=2243.9700, secs_left=1327326, sigma=0.29, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_57s
2026-04-11T01:39:42.637592+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72902.1650, spot_5m=72948.2300, secs_left=1327323, sigma=0.20, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_37s
2026-04-11T01:39:42.638265+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.1950, spot_5m=2243.9700, secs_left=1327323, sigma=0.28, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_53s
2026-04-11T01:39:46.093770+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72899.9950, spot_5m=72948.2300, secs_left=1327320, sigma=0.21, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_34s
2026-04-11T01:39:46.094579+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.3850, spot_5m=2243.9700, secs_left=1327320, sigma=0.25, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_50s
2026-04-11T01:39:48.934892+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72902.0350, spot_5m=72948.2300, secs_left=1327316, sigma=0.21, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_31s
2026-04-11T01:39:48.935677+00:00,KXETH15M-26APR102145-45,no,78,28,45,23.14,"asset=KXETH15M, spot_now=2242.3850, spot_5m=2243.9700, secs_left=1327316, sigma=0.25, fair=49.9, market=77.5, conf=1.00",cooldown,cooldown_active_47s
2026-04-11T01:39:52.557702+00:00,KXBTC15M-26APR102145-45,no,95,45,100,35.15,"asset=KXBTC15M, spot_now=72902.0350, spot_5m=72948.2300, secs_left=1327314, sigma=0.21, fair=49.9, market=95.0, conf=1.00",cooldown,cooldown_active_27s
