ticker,expiry_time,status,side,price,score,won,pnl_cents,product
KXBTC15M-26MAR302015-00,2026-03-30T20:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR302015-00,2026-03-30T20:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302030-00,2026-03-30T20:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR302030-00,2026-03-30T20:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302045-00,2026-03-30T20:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR302045-00,2026-03-30T20:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302100-00,2026-03-30T21:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR302100-00,2026-03-30T21:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302115-00,2026-03-30T21:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR302115-00,2026-03-30T21:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302130-00,2026-03-30T21:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR302130-00,2026-03-30T21:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302145-00,2026-03-30T21:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR302145-00,2026-03-30T21:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302200-00,2026-03-30T22:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR302200-00,2026-03-30T22:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302215-00,2026-03-30T22:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR302215-00,2026-03-30T22:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302230-00,2026-03-30T22:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR302230-00,2026-03-30T22:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302245-00,2026-03-30T22:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR302245-00,2026-03-30T22:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302300-00,2026-03-30T23:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR302300-00,2026-03-30T23:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302315-00,2026-03-30T23:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR302315-00,2026-03-30T23:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302330-00,2026-03-30T23:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR302330-00,2026-03-30T23:30:00+00:00,rejected,,,,,,
KXBTC15M-26MAR302345-00,2026-03-30T23:45:00+00:00,rejected,,,,,,
KXETH15M-26MAR302345-00,2026-03-30T23:45:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310000-00,2026-03-31T00:00:00+00:00,rejected,,,,,,
KXETH15M-26MAR310000-00,2026-03-31T00:00:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310015-00,2026-03-31T00:15:00+00:00,rejected,,,,,,
KXETH15M-26MAR310015-00,2026-03-31T00:15:00+00:00,rejected,,,,,,
KXBTC15M-26MAR310030-00,2026-03-31T00:30:00+00:00,rejected,,,,,,
KXETH15M-26MAR310030-00,2026-03-31T00:30:00+00:00,rejected,,,,,,
